Brand,Label,Category,Price,Ingredients,Skin_Type,Benefits,Reviews
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,40.89744145835691,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes",Best product I've ever used!
CeraVe,Hydrating Cleanser,Cleanser,46.15132651753717,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration",Made my skin feel soft and hydrated!
La Roche-Posay,Effaclar Duo,Treatment,63.55168923714231,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil",Decent moisturizer but not worth the hype.
The Ordinary,Hyaluronic Acid 2% + B5,Serum,52.41493664609876,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping",Made my skin feel soft and hydrated!
Neutrogena,Hydro Boost Gel Cream,Moisturizer,57.988684390913015,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Very gentle and effective, great for sensitive skin."
CeraVe,Moisturizing Cream,Moisturizer,59.55035064713807,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Not bad, but nothing special either."
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,97.8119062044795,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Didn't work for me, caused breakouts."
La Roche-Posay,Cicaplast Baume B5,Treatment,72.26537602137101,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing",Decent moisturizer but not worth the hype.
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,33.45511204119694,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Good for daily use, but no visible difference."
Neutrogena,Oil-Free Moisturizer,Moisturizer,46.886335903524746,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Works well, but I expected better results."
The Inkey List,Salicylic Acid Cleanser,Cleanser,79.30063114187051,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Very gentle and effective, great for sensitive skin."
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,75.20747147378391,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Good for daily use, but no visible difference."
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,83.87190367247518,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration",Made my skin feel soft and hydrated!
Glossier,Solution,Exfoliant,38.44091625744394,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Very gentle and effective, great for sensitive skin."
Youth To The People,Superfood Antioxidant Cleanser,Cleanser,10.518333958740689,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Good for daily use, but no visible difference."
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,78.25619285826198,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes",Best product I've ever used!
CeraVe,Hydrating Cleanser,Cleanser,29.1497867470648,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Left a sticky residue, not a fan."
La Roche-Posay,Effaclar Duo,Treatment,20.711914836035263,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","Irritated my skin, won’t repurchase."
The Ordinary,Hyaluronic Acid 2% + B5,Serum,66.93339099420064,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Didn't work for me, caused breakouts."
Neutrogena,Hydro Boost Gel Cream,Moisturizer,29.69973411206027,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Wouldn't buy again, didn't meet my expectations."
CeraVe,Moisturizing Cream,Moisturizer,68.04387897124053,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Helped my acne significantly, highly recommend!"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,86.2894213445134,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing",Best product I've ever used!
