Brand,Label,Category,Price,Ingredients,Skin_Type,Benefits,Reviews
The Ordinary,Niacinamide 10% + Zinc 1%,Serum,40.89744145835691,"Niacinamide, Zinc PCA, Glycerin, Aqua","Oily, Combination","Reduces Sebum, Controls Blemishes","Absorbs well but didn't see significant results. - Priya, Bangalore"
CeraVe,Hydrating Cleanser,Cleanser,46.15132651753717,"Ceramides, Glycerin, Hyaluronic Acid",All Skin Types,"Gentle Cleansing, Hydration","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
La Roche-Posay,Effaclar Duo,Treatment,63.55168923714231,"Niacinamide, Glycerin, Salicylic Acid","Oily, Acne-Prone","Treats Acne, Reduces Oil","A bit expensive, but worth the money. - Sneha, Kolkata"
The Ordinary,Hyaluronic Acid 2% + B5,Serum,52.41493664609876,"Hyaluronic Acid, Vitamin B5, Glycerin",All Skin Types,"Hydration, Plumping","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Neutrogena,Hydro Boost Gel Cream,Moisturizer,57.988684390913015,"Hyaluronic Acid, Glycerin, Dimethicone","Dry, Combination","Deep Hydration, Oil-Free","Caused a breakout, didn't work for me. - Simran, Pune"
CeraVe,Moisturizing Cream,Moisturizer,59.55035064713807,"Ceramides, Hyaluronic Acid, Glycerin","Dry, Very Dry","Deep Moisturizing, Barrier Repair","Lightweight and great for daily use. - Ananya, Chandigarh"
Paula's Choice,BHA Liquid Exfoliant,Exfoliant,97.8119062044795,"Salicylic Acid, Green Tea, Methylpropanediol",All Skin Types,"Exfoliation, Pore Clearing","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
La Roche-Posay,Cicaplast Baume B5,Treatment,72.26537602137101,"Panthenol, Shea Butter, Glycerin","Sensitive, Dry","Skin Repair, Soothing","A bit expensive, but worth the money. - Sneha, Kolkata"
The Ordinary,AHA 30% + BHA 2% Peeling Solution,Treatment,33.45511204119694,"Glycolic Acid, Salicylic Acid, Hyaluronic Acid",All Skin Types,"Deep Exfoliation, Pore Clearing","Caused a breakout, didn't work for me. - Simran, Pune"
Himalaya,Oil-Free Moisturizer,Moisturizer,46.886335903524746,"Glycerin, Dimethicone, Aloe","Oily, Combination","Light Hydration, Oil Control","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
The Inkey List,Salicylic Acid Cleanser,Cleanser,79.30063114187051,"Salicylic Acid, Zinc, Allantoin","Oily, Acne-Prone","Gentle Exfoliation, Acne Control","Best moisturizer I've used, even better than some premium brands! - Vikram, Chennai"
Sunday Riley,Good Genes Lactic Acid Treatment,Treatment,75.20747147378391,"Lactic Acid, Licorice Root, Aloe",All Skin Types,"Exfoliation, Brightening","Caused a breakout, didn't work for me. - Simran, Pune"
Drunk Elephant,Protini Polypeptide Cream,Moisturizer,83.87190367247518,"Peptides, Marula Oil, Signal Peptides",All Skin Types,"Anti-Aging, Hydration","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Glossier,Solution,Exfoliant,38.44091625744394,"AHA, BHA, Gluconolactone",All Skin Types,"Chemical Exfoliation, Clarity","Not suitable for my sensitive skin, caused mild irritation. - Raj, Delhi"
Himalaya,Superfood Antioxidant Cleanser,Cleanser,10.518333958740689,"Green Tea, Kale, Spinach",All Skin Types,"Gentle Cleansing, Antioxidant Protection","Scent is too strong for my liking, but otherwise good. - Riya, Hyderabad"
